Genecards	OMIM	Pharmgkb	TTD	DrugBank	Total
CASP3		HOXA4			CASP3
CD86		HOXC5			CD86
TLR8		RILP			TLR8
PDGFRA		HES4			PDGFRA
H19		PHF10			H19
APOA1		PAPSS1			APOA1
PON1		INA			PON1
ADA		ATOH7			ADA
S100A8		HOXC9			S100A8
TNFRSF13B		HOXB5			TNFRSF13B
ATG5		HOXB6			ATG5
TAP2		MDGA1			TAP2
CSK		NDEL1			CSK
GATA3		CHD7			GATA3
CXCR3		PPP2R5D			CXCR3
IFNA2		NTNG1			IFNA2
ESR1		NPAS1			ESR1
TGFB2		PGP			TGFB2
HSP90AA1		CD44			HSP90AA1
HMOX1		GLDC			HMOX1
KRAS		MTR			KRAS
ADAMTS13		VEGFA			ADAMTS13
AGT		PBX1			AGT
ACP5		INHA			ACP5
MEFV		BMP5			MEFV
TNFSF12		SOX3			TNFSF12
LYN		PCDHA11			LYN
ELANE		PCDHA4			ELANE
CD79A		PCDHA5			CD79A
HRAS		PCDHA7			HRAS
ITGB2		DPYSL5			ITGB2
SNRPN		FRMD7			SNRPN
NFE2L2		RAPGEF5			NFE2L2
PTGS2		CDH11			PTGS2
KMT2D		HMX2			KMT2D
ANXA5		NEFH			ANXA5
IKZF1		PCDH1			IKZF1
IL5		MSI1			IL5
SELP		RUFY3			SELP
ADA2		DPYSL3			ADA2
LTF		ENC1			LTF
MT-ATP6		IGSF9			MT-ATP6
CXCR4		IGSF8			CXCR4
IL2RB		BPNT1			IL2RB
CYP3A5		SPOCK1			CYP3A5
FN1		ADAM23			FN1
IRF8		SLC7A11			IRF8
GAS6		RAB26			GAS6
FGF2		LGI1			FGF2
PLG		BMP8B			PLG
CIITA		BTD			CIITA
GRN		ALX3			GRN
RASGRP3		NRTN			RASGRP3
HIF1A		BICDL1			HIF1A
IFNB1		MAP1LC3C			IFNB1
IL15		VTI1B			IL15
TFRC		FAIM2			TFRC
HLA-B		CABLES1			HLA-B
ISG15		ROBO3			ISG15
BDNF		UNCX			BDNF
ANGPT2		ARL6IP1			ANGPT2
FOS		HHEX			FOS
C4B_2		CHRNB2			C4B_2
RNASEH2A		MAFK			RNASEH2A
ICOSLG		UFD1			ICOSLG
SEMA3A		VAMP5			SEMA3A
XRCC6		LTBP3			XRCC6
IL6R		STMN3			IL6R
HLA-DPA1		RAPGEFL1			HLA-DPA1
FGFR1		GNG8			FGFR1
PTX3		MYT1L			PTX3
IL17F		SLC1A1			IL17F
CD59		SYTL3			CD59
CCR2		JAG1			CCR2
BDNF-AS		PDCD1LG2			BDNF-AS
AGER		GFRA2			AGER
IFNGR1		MYT1			IFNGR1
RNPC3		TLL1			RNPC3
CASP8		SEMA6C			CASP8
FLT1		NEUROG1			FLT1
PLAUR		NHLH2			PLAUR
TGFBR1		DPF3			TGFBR1
IFNAR1		MAP1LC3B			IFNAR1
LEP		CHRDL1			LEP
IRF1		SHOX			IRF1
MIRLET7C		TBX3			MIRLET7C
C5AR1		NODAL			C5AR1
RAG2		PITPNM2			RAG2
LGALS3		KCNJ11			LGALS3
MIR148A		CHERP			MIR148A
CSF3		PCDHB4			CSF3
MMP3		PCDHB6			MMP3
XIST		NAB2			XIST
JAK1		IL1RAPL2			JAK1
LINC01672		IGFBP4			LINC01672
HSPD1		TMOD2			HSPD1
LCN2		TNFRSF17			LCN2
RBP4		HOXD12			RBP4
SOD1		SEMA3E			SOD1
PSMB8		PCDHA1			PSMB8
VDR		PCDHB2			VDR
LCK		PCDHB3			LCK
ICOS		BIK			ICOS
IL1R1		DRP2			IL1R1
CSF2		CRIM1			CSF2
SNRPD1		HOXB8			SNRPD1
CCR4		HOXC6			CCR4
IL23A		NKX1-1			IL23A
TRAF6		ACTL6B			TRAF6
CTNNB1		SLC43A2			CTNNB1
HLA-DQA2		RNF167			HLA-DQA2
CCR1		APOO			CCR1
TPMT		CHL1			TPMT
MIR126		FGF17			MIR126
IL12RB1		FIBP			IL12RB1
COL1A1		GDF10			COL1A1
SOCS3		ADSS			SOCS3
LINC02605		PRELP			LINC02605
PRF1		SLC2A12			PRF1
IL33		NES			IL33
KLRK1		OTP			KLRK1
FBN1		CRMP1			FBN1
CXCL13		HOXC8			CXCL13
CCN2		SRRM4			CCN2
ITGAX		MAP1B			ITGAX
TNFRSF17		ZBTB16			TNFRSF17
PHRF1		SPG7			PHRF1
IL7		PIP5K1B			IL7
AIM2		TRIM3			AIM2
HGF		LHX2			HGF
MIR127		PCDHA10			MIR127
CD70		PCDHA6			CD70
CCL3		PCDHB11			CCL3
CREM		PMS1			CREM
CXCR5		CDC42EP1			CXCR5
HLA-DRA		SH3GL3			HLA-DRA
MTHFR		SOX14			MTHFR
TBK1		ZIC2			TBK1
CD244		RNF34			CD244
CCR7		TBX4			CCR7
P2RX7		NEURL1			P2RX7
CLU		EXTL1			CLU
GFAP		BARHL2			GFAP
CSF1		AMT			CSF1
RIPK1		ITM2B			RIPK1
MIR483		BCL2L14			MIR483
RPL7		DOCK9			RPL7
F5		FKTN			F5
SPTAN1		RC3H2			SPTAN1
MERTK		HEYL			MERTK
CST3		HES6			CST3
TPO		NELL1			TPO
HLA-DMA		DOCK4			HLA-DMA
SULT1A3		POU3F1			SULT1A3
RAG1		MEPE			RAG1
TNFRSF4		HOXB3			TNFRSF4
CD38		VSX1			CD38
BRAF		WDR5			BRAF
MAPK1		CDC42EP4			MAPK1
SELL		GMFB			SELL
CX3CR1		GPM6B			CX3CR1
TRAF1		GFRA1			TRAF1
OAS1		FUT9			OAS1
IL10RA		HOXB9			IL10RA
PRDM1		TTLL7			PRDM1
IL1RAPL2		POSTN			IL1RAPL2
TBX21		UTP11			TBX21
CD69		IDUA			CD69
AXL		FGF14			AXL
PGF		ZEB1			PGF
IGF1		DSPP			IGF1
NFKBIA		SDCBP2			NFKBIA
SLAMF1		MYRF			SLAMF1
MYC		EFNB3			MYC
CFHR5		APBA2			CFHR5
APOE		PAPSS2			APOE
NCF2		KIF26A			NCF2
FAM167A		ADSSL1			FAM167A
H2AC18		PLXNA4			H2AC18
CREB1		SLC2A10			CREB1
PNP		SHC3			PNP
LSM2		LGALS3			LSM2
IL21R		COL5A2			IL21R
SLC15A4		WNT1			SLC15A4
MIR423		ADORA1			MIR423
HAMP		ELAVL3			HAMP
FOXO1		NRBP1			FOXO1
CTSG		NEUROD4			CTSG
FCGR1A		PTS			FCGR1A
IL16		RFNG			IL16
DNASE2		EFNA5			DNASE2
MBP		FBN1			MBP
MEG3		NR2E1			MEG3
NRP1		HAP1			NRP1
MAPT		ADAMTS4			MAPT
GBA1		DPF1			GBA1
CBL		EVL			CBL
CXCL1		POU6F2			CXCL1
ANXA1		CDC42EP5			ANXA1
TTR		SEMA6A			TTR
POMC		FGF5			POMC
CD5		COL19A1			CD5
PIK3CG		TENM1			PIK3CG
IL22		HOXC11			IL22
NF1		HOXD8			NF1
ERBB2		TBCE			ERBB2
SIRT1		GDA			SIRT1
PTPN11		BARX1			PTPN11
CXCL9		SLC9A3R2			CXCL9
XRCC5		SH3GL2			XRCC5
CD19		HMX3			CD19
CYBA		CTF1			CYBA
IKBKG		HIP1R			IKBKG
CCL4		NAV2			CCL4
FCN2		FGF19			FCN2
JAK2		PTN			JAK2
CD72		RAB23			CD72
CCL17		EFNB2			CCL17
IL9		BMP3			IL9
VTN		ISLR2			VTN
HFE		KCTD11			HFE
WDFY4		FBXO45			WDFY4
CD22		PPP1R17			CD22
CENPB		TNFRSF11B			CENPB
RPLP0		GAL			RPLP0
FOXJ1		TLX3			FOXJ1
CEBPB		DSCAM			CEBPB
HSP90AB1		ZNF423			HSP90AB1
NOS2		DLK1			NOS2
LTK		SLC7A2			LTK
IL19		SEMA7A			IL19
CFTR		TLX2			CFTR
IDO1		ST8SIA2			IDO1
APOL1		GLIS2			APOL1
ANXA2		TGFBR1			ANXA2
TET2		TIMP4			TET2
APCS		PHEX			APCS
CHUK		KCNH3			CHUK
MSN		MDK			MSN
CD8A		SLC7A1			CD8A
ADAM17		PAFAH1B3			ADAM17
SNCA		FRZB			SNCA
SDC1		ATN1			SDC1
IL37		DBN1			IL37
PMS2		SLC7A6			PMS2
HAVCR1		ACP2			HAVCR1
MSH6		HOXB2			MSH6
BLTP3A		COL12A1			BLTP3A
PSME3		TRIM72			PSME3
