Genecards	OMIM	Pharmgkb	TTD	DrugBank	Total
LHCGR					LHCGR
SIGLEC5					SIGLEC5
ADAM10					ADAM10
METTL27					METTL27
TCF19					TCF19
PROK2					PROK2
TGFBR3					TGFBR3
TIMMDC1					TIMMDC1
EBI3					EBI3
LPXN					LPXN
CPOX					CPOX
ADRA2C					ADRA2C
NEGR1					NEGR1
XPO1					XPO1
NAT1					NAT1
MX2					MX2
RBM28					RBM28
CANX					CANX
MAFB					MAFB
SELPLG					SELPLG
RNY3					RNY3
MIR135B					MIR135B
MRC1					MRC1
MIR136					MIR136
AK2					AK2
MIR181C					MIR181C
PSMB4					PSMB4
IGBP1					IGBP1
HADH					HADH
LPAR1					LPAR1
PGAP1					PGAP1
DSE					DSE
AHNAK					AHNAK
NCK1					NCK1
AQP5					AQP5
TMC2					TMC2
CSN1S1					CSN1S1
MIR1275					MIR1275
RNF213					RNF213
PRMT7					PRMT7
SLC25A15					SLC25A15
NUP160					NUP160
KIFC1					KIFC1
LBP					LBP
FRAXA					FRAXA
ICAM4					ICAM4
GPR183					GPR183
SLC44A4					SLC44A4
FLII					FLII
VAV1					VAV1
MT-TP					MT-TP
PLXNA3					PLXNA3
IKZF2					IKZF2
MED1					MED1
KRT8					KRT8
TYRP1					TYRP1
B4GALT1					B4GALT1
CPB2					CPB2
ICAM3					ICAM3
TLX1NB					TLX1NB
PPL					PPL
XKR6					XKR6
FKBPL					FKBPL
WAKMAR2					WAKMAR2
TSLP					TSLP
SYT1					SYT1
CA4					CA4
SAPCD1					SAPCD1
ABT1					ABT1
HSPB8					HSPB8
CTNNA1					CTNNA1
MOGS					MOGS
B3GALT6					B3GALT6
SPRY4					SPRY4
OAT					OAT
STMN1					STMN1
FOXM1					FOXM1
GNL1					GNL1
TNFSF12-TNFSF13					TNFSF12-TNFSF13
RAB6A					RAB6A
PRKD1					PRKD1
LPP					LPP
CD3E					CD3E
DCT					DCT
NCL					NCL
EHF					EHF
ABHD16A					ABHD16A
TNFSF18					TNFSF18
IRF2					IRF2
PSORS1C2					PSORS1C2
CYP21A1P					CYP21A1P
POLR1H					POLR1H
LINGO1					LINGO1
DHX9					DHX9
BLTP1					BLTP1
LILRA2					LILRA2
LHX4					LHX4
FCER2					FCER2
EGFL8					EGFL8
PSMG2					PSMG2
LPA					LPA
TFR2					TFR2
MIR137					MIR137
POLR2B					POLR2B
WDR46					WDR46
HNMT					HNMT
RNY5					RNY5
CLEC4A					CLEC4A
BLNK					BLNK
POU2AF1					POU2AF1
GSDMD					GSDMD
H1-5					H1-5
MIR29B2					MIR29B2
PCGF2					PCGF2
MIR28					MIR28
HELLS					HELLS
INA					INA
IRF2BP2					IRF2BP2
OSMR					OSMR
PITX1					PITX1
MAPK8IP3					MAPK8IP3
IL1RAP					IL1RAP
ARHGAP31					ARHGAP31
PTF1A					PTF1A
LTBP3					LTBP3
KIR2DL5A					KIR2DL5A
DARS1					DARS1
KHDRBS1					KHDRBS1
LILRA3					LILRA3
FOLR1					FOLR1
RPS14					RPS14
RPP21					RPP21
RAB8A					RAB8A
HSD3B7					HSD3B7
BACE1					BACE1
DEFA1					DEFA1
TRIM27					TRIM27
MT-TW					MT-TW
KIR2DS3					KIR2DS3
CATSPER1					CATSPER1
RNF135					RNF135
MSR1					MSR1
IFI27					IFI27
DIABLO					DIABLO
HCCAT5					HCCAT5
SNRPA					SNRPA
SEZ6L2					SEZ6L2
IFNL3					IFNL3
PGAP3					PGAP3
TSC22D3					TSC22D3
ATF6					ATF6
CCL8					CCL8
PRRT1					PRRT1
CD7					CD7
MUC21					MUC21
TMSB4X					TMSB4X
DNA2					DNA2
KMT5B					KMT5B
PACS1					PACS1
ATP5PO					ATP5PO
GCH1					GCH1
CYP7A1					CYP7A1
ADRA1B					ADRA1B
MTUS2					MTUS2
SGPL1					SGPL1
ROBO2					ROBO2
DDX11					DDX11
GC					GC
TRAF5					TRAF5
NHERF1					NHERF1
FUT8					FUT8
STN1					STN1
STS					STS
KDM4B					KDM4B
NUCB1					NUCB1
DGUOK-AS1					DGUOK-AS1
TFE3					TFE3
PRKAA1					PRKAA1
HAR1B					HAR1B
MIR181D					MIR181D
INS-IGF2					INS-IGF2
UBAC2					UBAC2
NAALADL2					NAALADL2
ARHGAP45					ARHGAP45
UQCC2					UQCC2
UBTF					UBTF
MT2A					MT2A
SNHG14					SNHG14
HCG22					HCG22
ATP5F1A					ATP5F1A
ARNT					ARNT
HMBS					HMBS
MIR380					MIR380
NONO					NONO
SUN2					SUN2
ADD2					ADD2
PINX1					PINX1
EIF4EBP1					EIF4EBP1
PCGF1					PCGF1
CUTA					CUTA
TNFRSF14					TNFRSF14
CARMN					CARMN
PPP1R10					PPP1R10
RNU6-2					RNU6-2
RNU6-9					RNU6-9
HS6ST1					HS6ST1
H2AX					H2AX
KRT16					KRT16
LINC00336					LINC00336
CTNND1					CTNND1
CD93					CD93
PGRMC1					PGRMC1
SMAD5					SMAD5
SPN					SPN
HNF1A-AS1					HNF1A-AS1
EFNA1					EFNA1
PPOX					PPOX
PLCH1					PLCH1
ETS2					ETS2
SYVN1					SYVN1
FOXP2					FOXP2
MYO9B					MYO9B
S100A4					S100A4
GPR35					GPR35
MIRLET7A3					MIRLET7A3
MFN1					MFN1
SUV39H1					SUV39H1
CTSL					CTSL
ABCC3					ABCC3
SEPTIN2					SEPTIN2
DHODH					DHODH
ABHD6					ABHD6
CARS1					CARS1
IREB2					IREB2
GZMA					GZMA
NCOA2					NCOA2
MIR1224					MIR1224
PYHIN1					PYHIN1
MIR376B					MIR376B
KLRG1					KLRG1
GFI1					GFI1
LNPEP					LNPEP
BLZF1					BLZF1
TPI1P2					TPI1P2
IFN1@					IFN1@
CCNA2					CCNA2
MIR511					MIR511
MT-TF					MT-TF
PEX13					PEX13
NSF					NSF
PIN1					PIN1
ATAT1					ATAT1
SRD5A1					SRD5A1
HCLS1					HCLS1
KRT15					KRT15
SAV1					SAV1
DEF6					DEF6
PTGER2					PTGER2
SRCAP					SRCAP
TMPRSS6					TMPRSS6
RENBP					RENBP
CHKB-CPT1B					CHKB-CPT1B
POLR3K					POLR3K
AMN					AMN
SLC11A2					SLC11A2
PSMA3					PSMA3
ASH1L					ASH1L
TARS1					TARS1
MIR107					MIR107
RNASET2					RNASET2
NAB1					NAB1
DOCK6					DOCK6
BORCS5					BORCS5
PRPS2					PRPS2
ZMIZ1					ZMIZ1
EIF4E					EIF4E
PRPF8					PRPF8
PRDX6					PRDX6
GABRP					GABRP
SRSF5					SRSF5
KAT8					KAT8
MYF6					MYF6
ZBP1					ZBP1
RPLP1					RPLP1
IGF2-AS					IGF2-AS
LOC100506023					LOC100506023
HOTTIP					HOTTIP
TRAPPC4					TRAPPC4
MIR331					MIR331
MIR1-2					MIR1-2
RNF39					RNF39
ELK1					ELK1
HLA-L					HLA-L
GRM3					GRM3
KCNA3					KCNA3
MLKL					MLKL
SIGLEC8					SIGLEC8
MIR885					MIR885
FST					FST
MAPT-AS1					MAPT-AS1
HEATR3					HEATR3
OAZ1					OAZ1
NUP62					NUP62
CD276					CD276
EPB41L3					EPB41L3
TMEM39A					TMEM39A
IL1F10					IL1F10
RNU6-7					RNU6-7
RNU6-8					RNU6-8
SCG5					SCG5
MGAM					MGAM
BIRC2					BIRC2
KCNJ3					KCNJ3
MCM3AP					MCM3AP
PTPA					PTPA
TRIM25					TRIM25
DNTT					DNTT
PRR3					PRR3
ALAS2					ALAS2
LY6G5B					LY6G5B
TSEN2					TSEN2
HERPUD1					HERPUD1
ID3					ID3
GRIN2D					GRIN2D
PPP1R11					PPP1R11
BTN3A2					BTN3A2
PMS2P2					PMS2P2
ZBTB22					ZBTB22
SBF1					SBF1
RAD52					RAD52
CMKLR1					CMKLR1
SDCCAG8					SDCCAG8
MIRLET7A2					MIRLET7A2
BTN2A1					BTN2A1
MT-TH					MT-TH
ZBTB12					ZBTB12
RGCC					RGCC
MIR24-2					MIR24-2
MAP4K3					MAP4K3
MIR219A1					MIR219A1
LAMB1					LAMB1
ALPP					ALPP
WLS					WLS
TRIM5					TRIM5
DOT1L					DOT1L
MCAM					MCAM
KIZ					KIZ
PIGF					PIGF
FOXL2					FOXL2
PYCARD					PYCARD
FGF4					FGF4
HLA-DRB6					HLA-DRB6
TRIM10					TRIM10
TIMD4					TIMD4
HSD3B1					HSD3B1
HRH4					HRH4
AP3D1					AP3D1
MIR138-1					MIR138-1
HTR2B					HTR2B
CD200					CD200
VWA7					VWA7
C6orf15					C6orf15
TNFRSF9					TNFRSF9
ITGA5					ITGA5
RNU6-1-001					RNU6-1-001
RNU6-1-002					RNU6-1-002
RNU6-1-003					RNU6-1-003
RNU6-1-004					RNU6-1-004
ITGA3					ITGA3
AAGAB					AAGAB
RTL1					RTL1
LY6G6E					LY6G6E
IL27RA					IL27RA
AMBRA1					AMBRA1
TSPYL1					TSPYL1
MIR16-2					MIR16-2
KAT2A					KAT2A
ABCA2					ABCA2
CDK12					CDK12
CCL27					CCL27
CBR3-AS1					CBR3-AS1
SFPQ					SFPQ
KRT2					KRT2
SLC30A10					SLC30A10
FCER1A					FCER1A
MIR766					MIR766
DSTYK					DSTYK
LY6G6C					LY6G6C
S100A6					S100A6
TFEB					TFEB
SEC61B					SEC61B
CGB3					CGB3
PDE12					PDE12
CWC22					CWC22
UBQLN1					UBQLN1
PRKAR2B					PRKAR2B
CLEC1A					CLEC1A
ARMC5					ARMC5
SAA4					SAA4
MIR543					MIR543
MBD3					MBD3
PRSS8					PRSS8
BBIP1					BBIP1
ELAVL1					ELAVL1
EDEM3					EDEM3
RGL1					RGL1
PTPN3					PTPN3
LRP4					LRP4
BOLA3					BOLA3
KLF13					KLF13
PPP2CB					PPP2CB
SCUBE1					SCUBE1
HSD17B8					HSD17B8
MSH5-SAPCD1					MSH5-SAPCD1
PHYH					PHYH
ACO1					ACO1
H4C16					H4C16
PRDX4					PRDX4
PWAR4					PWAR4
BST2					BST2
RBP3					RBP3
RSL1D1					RSL1D1
GRHL3					GRHL3
YRDC					YRDC
ZC3H12A					ZC3H12A
VDAC3					VDAC3
SAT1					SAT1
RPL6					RPL6
IL20					IL20
CD27-AS1					CD27-AS1
SIRT2					SIRT2
PLD4					PLD4
ARMS2					ARMS2
SNHG32					SNHG32
STX1B					STX1B
SKAP2					SKAP2
P4HA2					P4HA2
EEF1A1					EEF1A1
INSL3					INSL3
CCDC22					CCDC22
ATP8A1					ATP8A1
IPW					IPW
LZTFL1					LZTFL1
LBH					LBH
IRAK2					IRAK2
FBRSL1					FBRSL1
ZNF335					ZNF335
MTNR1B					MTNR1B
PIKFYVE					PIKFYVE
FAM167A-AS1					FAM167A-AS1
CDH17					CDH17
TAX1BP1					TAX1BP1
APEX1					APEX1
WIPF2					WIPF2
SNHG16					SNHG16
NSMF					NSMF
MIR124-3					MIR124-3
PIGR					PIGR
IFNA5					IFNA5
SLC25A19					SLC25A19
CD52					CD52
NUAK2					NUAK2
CDH13					CDH13
ADAMTSL1					ADAMTSL1
GTPBP3					GTPBP3
TRAFD1					TRAFD1
HCG26					HCG26
IL12A-AS1					IL12A-AS1
DCAF1					DCAF1
SFTA2					SFTA2
PTP4A1					PTP4A1
NRXN2					NRXN2
RAB5B					RAB5B
LOC111365141					LOC111365141
LY6G5C					LY6G5C
HLA-K					HLA-K
MCM6					MCM6
YES1					YES1
CHRNE					CHRNE
SIX2					SIX2
IL18RAP					IL18RAP
GIT2					GIT2
RBL2					RBL2
UBA2					UBA2
FCER1G					FCER1G
GLT1D1					GLT1D1
BCL2L14					BCL2L14
SP100					SP100
FLAD1					FLAD1
MAP4K5					MAP4K5
TUBGCP2					TUBGCP2
PNKD					PNKD
MYSM1					MYSM1
NHLH1					NHLH1
SLC22A12					SLC22A12
TNRC6A					TNRC6A
XRN2					XRN2
PRRX1					PRRX1
PDP1					PDP1
ZNF311					ZNF311
APOBEC3G					APOBEC3G
TNFAIP8L2					TNFAIP8L2
CPA6					CPA6
ACTN1					ACTN1
USP5					USP5
FNIP1					FNIP1
FCRL6					FCRL6
KIR2DP1					KIR2DP1
LRRC18					LRRC18
RIMBP3C					RIMBP3C
SIPA1					SIPA1
LCP1					LCP1
PGBD1					PGBD1
POGLUT1					POGLUT1
PLVAP					PLVAP
ARMH4					ARMH4
IL21-AS1					IL21-AS1
POU2F1					POU2F1
PSMD1					PSMD1
CPE					CPE
TRIM63					TRIM63
FKBP14					FKBP14
SOCS5					SOCS5
CASP4					CASP4
PTPRT					PTPRT
PSIP1					PSIP1
PFDN6					PFDN6
NLGN4X					NLGN4X
DEFA3					DEFA3
TSPAN32					TSPAN32
STAMBP					STAMBP
PGLYRP2					PGLYRP2
RPL7AP9					RPL7AP9
SSTR3					SSTR3
STX4					STX4
IL1R2					IL1R2
ALKBH5					ALKBH5
MIR128-2					MIR128-2
FSTL1					FSTL1
OR4A15					OR4A15
MAPKAPK2					MAPKAPK2
LAPTM5					LAPTM5
PTK6					PTK6
DNPEP					DNPEP
DXO					DXO
HULC					HULC
SMPD3					SMPD3
ATG16L2					ATG16L2
SLC6A20					SLC6A20
GPX3					GPX3
AUP1					AUP1
NR4A3					NR4A3
CA3					CA3
MCCD1					MCCD1
VTRNA2-1					VTRNA2-1
CDA					CDA
MIR873					MIR873
P2RY8					P2RY8
CERT1					CERT1
MSTO1					MSTO1
APEH					APEH
MIR1-1					MIR1-1
ATF3					ATF3
SIN3B					SIN3B
ORMDL3					ORMDL3
AFF3					AFF3
IL17RE					IL17RE
TSSK1B					TSSK1B
PERP					PERP
GGPS1					GGPS1
SYNPO					SYNPO
DGKQ					DGKQ
GRM4					GRM4
SH3BP2					SH3BP2
EFNA3					EFNA3
AANAT					AANAT
RBM4					RBM4
LOC102723517					LOC102723517
SOX9-AS1					SOX9-AS1
ROCR					ROCR
ENSG00000288605					ENSG00000288605
HMGA1					HMGA1
FGR					FGR
JUND					JUND
COIL					COIL
TAGLN2					TAGLN2
CHERP					CHERP
PROZ					PROZ
LILRB2					LILRB2
SERPINB3					SERPINB3
ADPRH					ADPRH
TRG					TRG
DDA1					DDA1
IBD5					IBD5
SPIB					SPIB
RPL10A					RPL10A
HRG					HRG
MIR196A2					MIR196A2
KLRB1					KLRB1
ADGRE2					ADGRE2
HPGD					HPGD
MATN1					MATN1
LAMP3					LAMP3
CHD2					CHD2
WARS1					WARS1
A2M					A2M
PRMT1					PRMT1
FMN2					FMN2
TTF2					TTF2
RABGAP1L					RABGAP1L
NPTX1					NPTX1
TBCE					TBCE
TIMP4					TIMP4
LAMA1					LAMA1
CCT3					CCT3
PRKCH					PRKCH
VWA1					VWA1
RALA					RALA
SLC15A2					SLC15A2
LAP3					LAP3
UBE2B					UBE2B
LINC01194					LINC01194
AOC3					AOC3
SRRM4					SRRM4
IKZF4					IKZF4
MIR1207					MIR1207
FOSL2					FOSL2
POU4F2					POU4F2
AMHR2					AMHR2
CYFIP2					CYFIP2
LY6E					LY6E
IL4I1					IL4I1
SEC24B					SEC24B
CD8B					CD8B
HLA-DRB9					HLA-DRB9
MAS1L					MAS1L
PSMB2					PSMB2
PNPT1					PNPT1
MIR26A2					MIR26A2
RNF114					RNF114
CYP4A11					CYP4A11
GSDMA					GSDMA
RNASE2					RNASE2
FCHSD2					FCHSD2
PGRMC2					PGRMC2
ZNF365					ZNF365
SLIT1					SLIT1
AGFG1					AGFG1
SLC36A1					SLC36A1
CPD					CPD
USP8P1					USP8P1
CDC27					CDC27
HLA-S					HLA-S
WDR5					WDR5
POLR2E					POLR2E
SHROOM3					SHROOM3
EEF2K					EEF2K
MBD1					MBD1
SI					SI
TNNT3					TNNT3
BMP15					BMP15
CHD3					CHD3
CTSS					CTSS
CD200R1					CD200R1
COPS8					COPS8
SCYL1					SCYL1
GPSM2					GPSM2
RXFP2					RXFP2
ANP32B					ANP32B
NRF1					NRF1
BOK					BOK
C6orf47					C6orf47
PALLD					PALLD
LILRB4					LILRB4
NOP2					NOP2
OAS3					OAS3
PDCD4					PDCD4
GBGT1					GBGT1
EDC3					EDC3
RPA2					RPA2
COTL1					COTL1
ROCK2					ROCK2
PLA2G10					PLA2G10
ZNF76					ZNF76
MYO1B					MYO1B
GRAP2					GRAP2
HCG18					HCG18
NT5C2					NT5C2
ALDH1A3					ALDH1A3
SUMO4					SUMO4
SLC26A3					SLC26A3
KIR3DL2					KIR3DL2
SNHG7					SNHG7
COLQ					COLQ
RNPS1					RNPS1
MYO16					MYO16
TENM3					TENM3
HOPX					HOPX
MIR101-2					MIR101-2
SPOP					SPOP
PRKAR2A					PRKAR2A
SEC61G					SEC61G
CIAPIN1					CIAPIN1
NUMA1					NUMA1
KLRC2					KLRC2
MIRLET7F2					MIRLET7F2
SIK2					SIK2
ILF3					ILF3
MYOM2					MYOM2
UBAP2L					UBAP2L
TAB1					TAB1
MIR1246					MIR1246
FECH					FECH
DRAM1					DRAM1
PLSCR1					PLSCR1
STH					STH
RCC1					RCC1
GPR132					GPR132
RTKN2					RTKN2
FAF1					FAF1
MTG1					MTG1
MNAT1					MNAT1
RNLS					RNLS
SLC9A2					SLC9A2
MAGEB2					MAGEB2
OTOA					OTOA
RASSF2					RASSF2
CDR1					CDR1
SPATA8					SPATA8
TGM5					TGM5
BSN					BSN
PSME1					PSME1
PSMD2					PSMD2
RAB4A					RAB4A
UVRAG					UVRAG
PTGER3					PTGER3
CHIA					CHIA
MIR520A					MIR520A
ZPBP2					ZPBP2
USF1					USF1
FNBP1					FNBP1
RPL12					RPL12
ARHGAP24					ARHGAP24
A2ML1					A2ML1
TDO2					TDO2
RHOH					RHOH
GDI2					GDI2
IGLV@					IGLV@
OAS2					OAS2
ETNPPL					ETNPPL
GAK					GAK
CCR8					CCR8
TIMELESS					TIMELESS
LY6G6F					LY6G6F
ALOX15					ALOX15
ZNF689					ZNF689
ENO3					ENO3
TRA					TRA
TIAL1					TIAL1
MIR506					MIR506
FYB1					FYB1
BACE2					BACE2
PGLYRP1					PGLYRP1
GRIN3B					GRIN3B
DCK					DCK
MIR22HG					MIR22HG
MIR155HG					MIR155HG
IL22RA1					IL22RA1
PICK1					PICK1
RNASEH1					RNASEH1
FAM161A					FAM161A
MYG1					MYG1
MRPS18B					MRPS18B
EEF2					EEF2
SMG7					SMG7
HMGN1					HMGN1
SRGAP2					SRGAP2
PFN2					PFN2
DHX58					DHX58
RRM1					RRM1
RPL3					RPL3
PRPF18					PRPF18
WIF1					WIF1
POMP					POMP
IFNK					IFNK
UROS					UROS
PI3					PI3
RSAD2					RSAD2
SLC35D1					SLC35D1
SRSF9					SRSF9
MIR377					MIR377
KDM5B					KDM5B
CREBL2					CREBL2
TMTC2					TMTC2
HTR3B					HTR3B
ATP6V1G3					ATP6V1G3
RNF4					RNF4
AKAP12					AKAP12
MEIS1					MEIS1
STX17					STX17
PTPRM					PTPRM
EVPL					EVPL
ZSCAN26					ZSCAN26
NARS1					NARS1
FAP					FAP
PCDH18					PCDH18
OGDH					OGDH
IFI35					IFI35
PDS5A					PDS5A
ZSCAN31					ZSCAN31
FSHB					FSHB
B3GAT1					B3GAT1
TRPM2					TRPM2
TRIM72					TRIM72
PRDM8					PRDM8
TNFAIP1					TNFAIP1
KALRN					KALRN
FGL2					FGL2
MIR490					MIR490
TRIB1					TRIB1
NPB					NPB
MIR187					MIR187
YTHDF2					YTHDF2
ADAT3					ADAT3
PSMB11					PSMB11
CASC3					CASC3
IFNA13					IFNA13
UBASH3B					UBASH3B
CTHRC1					CTHRC1
ILRUN					ILRUN
GPR19					GPR19
CTNNA3					CTNNA3
NADSYN1					NADSYN1
DPP6					DPP6
PRSS1					PRSS1
OR12D3					OR12D3
RGS1					RGS1
STBD1					STBD1
MIR556					MIR556
LAT2					LAT2
UBE2D1					UBE2D1
ADAM15					ADAM15
PPM1H					PPM1H
UCHL1-DT					UCHL1-DT
PDLIM4					PDLIM4
MOV10					MOV10
VTI1B					VTI1B
RPS25					RPS25
ZBTB9					ZBTB9
DHX36					DHX36
CCDC38					CCDC38
TNFAIP6					TNFAIP6
MIR206					MIR206
SRP72					SRP72
MIR4435-2HG					MIR4435-2HG
FCAR					FCAR
LAD1					LAD1
SLC25A28					SLC25A28
DSC1					DSC1
CBX5					CBX5
MMP15					MMP15
TRIM38					TRIM38
PRCC					PRCC
COX17					COX17
ERAP2					ERAP2
REEP2					REEP2
MT-TT					MT-TT
CLPP					CLPP
DMRT1					DMRT1
PTMA					PTMA
PPIF					PPIF
ESM1					ESM1
PLUT					PLUT
ENTPD1-AS1					ENTPD1-AS1
PSMB6					PSMB6
UBE2G2					UBE2G2
SH3PXD2A					SH3PXD2A
TTF1					TTF1
CAPN10					CAPN10
ATXN2L					ATXN2L
NKX2-4					NKX2-4
SEPTIN7					SEPTIN7
P2RX3					P2RX3
SPAG9					SPAG9
SSR1					SSR1
SPATA48					SPATA48
MIR188					MIR188
C1QTNF4					C1QTNF4
CHSY1					CHSY1
ITPR2					ITPR2
KIAA1217					KIAA1217
HAO1					HAO1
LEF1-AS1					LEF1-AS1
CD177					CD177
HDAC7					HDAC7
RPS15					RPS15
CD6					CD6
MSRA					MSRA
BDKRB1					BDKRB1
SYNGR1					SYNGR1
PRDM2					PRDM2
HLA-F-AS1					HLA-F-AS1
VSTM1					VSTM1
TLR8-AS1					TLR8-AS1
RGS2					RGS2
ZFP36L1					ZFP36L1
CACNA1I					CACNA1I
RGL2					RGL2
STMN3					STMN3
INTS10					INTS10
TNIP2					TNIP2
CLPX					CLPX
ARHGAP15					ARHGAP15
SLC25A37					SLC25A37
ICAM5					ICAM5
APOBEC4					APOBEC4
PPIL1					PPIL1
ATP6V1F					ATP6V1F
EFNA4					EFNA4
GGA3					GGA3
DUSP4					DUSP4
ERP44					ERP44
FLRT2					FLRT2
WDR26					WDR26
PLAC8					PLAC8
GNPAT					GNPAT
MIR3940					MIR3940
PNMA2					PNMA2
SNORD24					SNORD24
EPS15L1					EPS15L1
NUCKS1					NUCKS1
MTF1					MTF1
ARID4B					ARID4B
ACKR2					ACKR2
JCHAIN					JCHAIN
TRAT1					TRAT1
DAB2					DAB2
PAPPA-AS1					PAPPA-AS1
CCL1					CCL1
LRRK1					LRRK1
SEPHS1					SEPHS1
HSD17B3					HSD17B3
ARID3B					ARID3B
ELP3					ELP3
MKRN3					MKRN3
SUPV3L1					SUPV3L1
HNRNPD					HNRNPD
TRIM56					TRIM56
NOLC1					NOLC1
POLR2C					POLR2C
LILRA1					LILRA1
MIR3142					MIR3142
MANF					MANF
ENSG00000274760					ENSG00000274760
ENSG00000277967					ENSG00000277967
ZBTB41					ZBTB41
LINC00339					LINC00339
LURAP1L					LURAP1L
CCS					CCS
SNORD44					SNORD44
PDCD5					PDCD5
PAWR					PAWR
CD5L					CD5L
LY86					LY86
UTP11					UTP11
TRIM40					TRIM40
HOXA-AS2					HOXA-AS2
PSENEN					PSENEN
DIO3					DIO3
MRPS7					MRPS7
IP6K3					IP6K3
LHB					LHB
CYTH1					CYTH1
SF1					SF1
PWAR6					PWAR6
ARHGAP4					ARHGAP4
TRIM15					TRIM15
ATG14					ATG14
A1CF					A1CF
ST6GAL1					ST6GAL1
RBM14					RBM14
TNFSF9					TNFSF9
PDSS2					PDSS2
VPS51					VPS51
ST8SIA4					ST8SIA4
TCP1					TCP1
ASGR1					ASGR1
OR5V1					OR5V1
GNGT2					GNGT2
SUGP1					SUGP1
CCL14					CCL14
MUC22					MUC22
NEGR1-IT1					NEGR1-IT1
CAMK1D					CAMK1D
ARPC5					ARPC5
UBE2E1					UBE2E1
MIR4516					MIR4516
MARS2					MARS2
GSTZ1					GSTZ1
MIR371A					MIR371A
SCAMP5					SCAMP5
CHD9					CHD9
LRRC20					LRRC20
MIR522					MIR522
ETS1-AS1					ETS1-AS1
GRB7					GRB7
CACNG3					CACNG3
OIP5-AS1					OIP5-AS1
PSMG1					PSMG1
RIPK3					RIPK3
IL26					IL26
DNER					DNER
FOXR1					FOXR1
KAT7					KAT7
PTBP1					PTBP1
KRT13					KRT13
OR2H2					OR2H2
POU5F1B					POU5F1B
PRNCR1					PRNCR1
TAGAP					TAGAP
IRF2BP1					IRF2BP1
UBE2J2					UBE2J2
AMELX					AMELX
SLC30A8					SLC30A8
NAALAD2					NAALAD2
CCR10					CCR10
MIR302A					MIR302A
MAP3K11					MAP3K11
RPEL1					RPEL1
UPF2					UPF2
SEM1					SEM1
CXXC1					CXXC1
UNK					UNK
ESRRG					ESRRG
KPNA1					KPNA1
GPR37L1					GPR37L1
POLR3C					POLR3C
LUM					LUM
TMEM240					TMEM240
SYN2					SYN2
H4C8					H4C8
UNC5B					UNC5B
GBP2					GBP2
THBS3					THBS3
MIR525					MIR525
RNASE1					RNASE1
MAPK12					MAPK12
PFKFB3					PFKFB3
RBM22					RBM22
ADGRL2					ADGRL2
MMEL1					MMEL1
IGFBP7					IGFBP7
ADAM9					ADAM9
TNFSF8					TNFSF8
RASSF5					RASSF5
PDE4C					PDE4C
SRSF3					SRSF3
RYBP					RYBP
LPAR4					LPAR4
MLLT6					MLLT6
WFDC21P					WFDC21P
OR2H1					OR2H1
C12orf43					C12orf43
CENPC					CENPC
CIRBP					CIRBP
ADARB2					ADARB2
RNF6					RNF6
ZNF804A					ZNF804A
TRBV11-2					TRBV11-2
FRMD4A					FRMD4A
TREX2					TREX2
TOP3B					TOP3B
WSB1					WSB1
GPR65					GPR65
KSR1					KSR1
GADD45B					GADD45B
INHBA					INHBA
RBM17					RBM17
TEN1-CDK3					TEN1-CDK3
SAFB					SAFB
MIR19B2					MIR19B2
CEP89					CEP89
BAG2					BAG2
TM9SF2					TM9SF2
PIP4P1					PIP4P1
ACOX2					ACOX2
INPP4A					INPP4A
MYOZ1					MYOZ1
S1PR2					S1PR2
FAM107A					FAM107A
OVOL1					OVOL1
MIR33B					MIR33B
UBE2Z					UBE2Z
CBLN2					CBLN2
ATP5MK					ATP5MK
HS3ST3A1					HS3ST3A1
PSORS1C3					PSORS1C3
KIR3DL3					KIR3DL3
CASP6					CASP6
CD33					CD33
IFT46					IFT46
EVI5					EVI5
SERBP1					SERBP1
LSP1					LSP1
FSTL3					FSTL3
MZB1					MZB1
CD207					CD207
TSGA10					TSGA10
RAPH1					RAPH1
TPCN2					TPCN2
LINC01618					LINC01618
ATAD3B					ATAD3B
CADPS					CADPS
LINC02431					LINC02431
DOCK10					DOCK10
SAP30BP					SAP30BP
MIR1307					MIR1307
LOC654780					LOC654780
LINC00208					LINC00208
IFNL4					IFNL4
TRDMT1					TRDMT1
CGB7					CGB7
VSIG2					VSIG2
PREP					PREP
MAP1LC3B2					MAP1LC3B2
TNKS					TNKS
LAG3					LAG3
LINCMD1					LINCMD1
RPS16					RPS16
CDT1					CDT1
PLA1A					PLA1A
LINC01762					LINC01762
SYCP3					SYCP3
PRODH					PRODH
GABPA					GABPA
ST2					ST2
USP20					USP20
RSBN1					RSBN1
MIB2					MIB2
MEGF10					MEGF10
CDC37					CDC37
B3GNT2					B3GNT2
PLCL1					PLCL1
PASK					PASK
BDH2					BDH2
KIR3DP1					KIR3DP1
SP140					SP140
MIR4512					MIR4512
CSTF2T					CSTF2T
MAPK11					MAPK11
OR12D2					OR12D2
C20orf204					C20orf204
RPS13					RPS13
NFIL3					NFIL3
STARD3					STARD3
PA2G4					PA2G4
MYNN					MYNN
CD37					CD37
PTPDC1					PTPDC1
CSNK1G2					CSNK1G2
ENHO					ENHO
WNT16					WNT16
MT-TG					MT-TG
NEK7					NEK7
CD48					CD48
TCN1					TCN1
OR2W1					OR2W1
RPP25					RPP25
TMPRSS5					TMPRSS5
GNG4					GNG4
FAM98B					FAM98B
SIGLEC12					SIGLEC12
ELMO1					ELMO1
LCLAT1					LCLAT1
TEX11					TEX11
IFI44					IFI44
