lhs	rhs	support	confidence	coverage	lift	count
54	{Eclipta Herb,Rehmannia Root} 	 {Glossy Privet Fruit}	0.116504854368932	0.923076923076923	0.12621359223301	3.52136752136752	12
55	{Glossy Privet Fruit,Rehmannia Root} 	 {Eclipta Herb}	0.116504854368932	0.8	0.145631067961165	3.92380952380952	12
56	{Oriental Waterplantain Rhizome,Prepared Rehmannia Root} 	 {Asiatic Cornelian Cherry Fruit}	0.116504854368932	0.8	0.145631067961165	3.43333333333333	12
57	{Asiatic Cornelian Cherry Fruit,Prepared Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.116504854368932	0.8	0.145631067961165	3.58260869565217	12
58	{Anemarrhena Rhizome,Oriental Waterplantain Rhizome} 	 {Dioscorea Rhizome}	0.116504854368932	0.857142857142857	0.135922330097087	3.3956043956044	12
59	{Anemarrhena Rhizome,Oriental Waterplantain Rhizome} 	 {Poria}	0.116504854368932	0.857142857142857	0.135922330097087	3.3956043956044	12
60	{Anemarrhena Rhizome,Poria} 	 {Oriental Waterplantain Rhizome}	0.116504854368932	0.923076923076923	0.12621359223301	4.13377926421405	12
61	{Oriental Waterplantain Rhizome,Rehmannia Root} 	 {Poria}	0.116504854368932	0.923076923076923	0.12621359223301	3.65680473372781	12
62	{Poria,Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.116504854368932	0.857142857142857	0.135922330097087	3.83850931677019	12
63	{Asiatic Cornelian Cherry Fruit,Prepared Rehmannia Root} 	 {Dioscorea Rhizome}	0.116504854368932	0.8	0.145631067961165	3.16923076923077	12
64	{Anemarrhena Rhizome,Asiatic Cornelian Cherry Fruit} 	 {Dioscorea Rhizome}	0.116504854368932	1	0.116504854368932	3.96153846153846	12
65	{Asiatic Cornelian Cherry Fruit,Prepared Rehmannia Root} 	 {Poria}	0.116504854368932	0.8	0.145631067961165	3.16923076923077	12
66	{Poria,Prepared Rehmannia Root} 	 {Asiatic Cornelian Cherry Fruit}	0.116504854368932	0.857142857142857	0.135922330097087	3.67857142857143	12
67	{Poria,Prepared Rehmannia Root} 	 {Dioscorea Rhizome}	0.116504854368932	0.857142857142857	0.135922330097087	3.3956043956044	12
68	{Anemarrhena Rhizome,Poria} 	 {Dioscorea Rhizome}	0.116504854368932	0.923076923076923	0.12621359223301	3.65680473372781	12
69	{Asiatic Cornelian Cherry Fruit,Oriental Waterplantain Rhizome,Prepared Rehmannia Root} 	 {Poria}	0.116504854368932	1	0.116504854368932	3.96153846153846	12
70	{Oriental Waterplantain Rhizome,Poria,Prepared Rehmannia Root} 	 {Asiatic Cornelian Cherry Fruit}	0.116504854368932	0.923076923076923	0.12621359223301	3.96153846153846	12
71	{Asiatic Cornelian Cherry Fruit,Poria,Prepared Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.116504854368932	1	0.116504854368932	4.47826086956522	12
72	{Moutan Root Bark,Oriental Waterplantain Rhizome,Prepared Rehmannia Root} 	 {Asiatic Cornelian Cherry Fruit}	0.116504854368932	0.8	0.145631067961165	3.43333333333333	12
73	{Asiatic Cornelian Cherry Fruit,Moutan Root Bark,Prepared Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.116504854368932	0.923076923076923	0.12621359223301	4.13377926421405	12
74	{Dioscorea Rhizome,Oriental Waterplantain Rhizome,Prepared Rehmannia Root} 	 {Poria}	0.116504854368932	0.923076923076923	0.12621359223301	3.65680473372781	12
75	{Oriental Waterplantain Rhizome,Poria,Prepared Rehmannia Root} 	 {Dioscorea Rhizome}	0.116504854368932	0.923076923076923	0.12621359223301	3.65680473372781	12
76	{Dioscorea Rhizome,Poria,Prepared Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.116504854368932	1	0.116504854368932	4.47826086956522	12
77	{Anemarrhena Rhizome,Moutan Root Bark,Oriental Waterplantain Rhizome} 	 {Dioscorea Rhizome}	0.116504854368932	0.857142857142857	0.135922330097087	3.3956043956044	12
78	{Anemarrhena Rhizome,Moutan Root Bark,Oriental Waterplantain Rhizome} 	 {Poria}	0.116504854368932	0.857142857142857	0.135922330097087	3.3956043956044	12
79	{Anemarrhena Rhizome,Moutan Root Bark,Poria} 	 {Oriental Waterplantain Rhizome}	0.116504854368932	1	0.116504854368932	4.47826086956522	12
80	{Moutan Root Bark,Oriental Waterplantain Rhizome,Rehmannia Root} 	 {Poria}	0.116504854368932	0.923076923076923	0.12621359223301	3.65680473372781	12
81	{Moutan Root Bark,Poria,Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.116504854368932	1	0.116504854368932	4.47826086956522	12
82	{Anemarrhena Rhizome,Asiatic Cornelian Cherry Fruit,Moutan Root Bark} 	 {Dioscorea Rhizome}	0.116504854368932	1	0.116504854368932	3.96153846153846	12
83	{Asiatic Cornelian Cherry Fruit,Moutan Root Bark,Prepared Rehmannia Root} 	 {Poria}	0.116504854368932	0.923076923076923	0.12621359223301	3.65680473372781	12
84	{Moutan Root Bark,Poria,Prepared Rehmannia Root} 	 {Asiatic Cornelian Cherry Fruit}	0.116504854368932	0.923076923076923	0.12621359223301	3.96153846153846	12
85	{Dioscorea Rhizome,Moutan Root Bark,Prepared Rehmannia Root} 	 {Poria}	0.116504854368932	0.8	0.145631067961165	3.16923076923077	12
86	{Moutan Root Bark,Poria,Prepared Rehmannia Root} 	 {Dioscorea Rhizome}	0.116504854368932	0.923076923076923	0.12621359223301	3.65680473372781	12
87	{Asiatic Cornelian Cherry Fruit,Moutan Root Bark,Oriental Waterplantain Rhizome,Prepared Rehmannia Root} 	 {Poria}	0.116504854368932	1	0.116504854368932	3.96153846153846	12
88	{Moutan Root Bark,Oriental Waterplantain Rhizome,Poria,Prepared Rehmannia Root} 	 {Asiatic Cornelian Cherry Fruit}	0.116504854368932	0.923076923076923	0.12621359223301	3.96153846153846	12
89	{Asiatic Cornelian Cherry Fruit,Moutan Root Bark,Poria,Prepared Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.116504854368932	1	0.116504854368932	4.47826086956522	12
90	{Dioscorea Rhizome,Moutan Root Bark,Oriental Waterplantain Rhizome,Prepared Rehmannia Root} 	 {Poria}	0.116504854368932	0.923076923076923	0.12621359223301	3.65680473372781	12
91	{Moutan Root Bark,Oriental Waterplantain Rhizome,Poria,Prepared Rehmannia Root} 	 {Dioscorea Rhizome}	0.116504854368932	0.923076923076923	0.12621359223301	3.65680473372781	12
92	{Dioscorea Rhizome,Moutan Root Bark,Poria,Prepared Rehmannia Root} 	 {Oriental Waterplantain Rhizome}	0.116504854368932	1	0.116504854368932	4.47826086956522	12
93	{Anemarrhena Rhizome,Prepared Rehmannia Root} 	 {Dioscorea Rhizome}	0.106796116504854	0.916666666666667	0.116504854368932	3.63141025641026	11
