id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulate
SIGLEC1	1.09124319708687	4.67710735221499	7.30427126687948	1.39423082438922e-09	6.15538076725026e-07	11.736183862132	up
PARP12	1.08643780218017	8.41824952922124	6.1192150011258	1.13545783478275e-07	2.53341398620883e-05	7.54349096252637	up
CCL8	1.08415250857753	5.23302914405336	6.29364586409613	5.96172148998141e-08	1.42190483812775e-05	8.15736081598994	up
MT2A	1.07418184358075	9.89562924234947	6.64719456614513	1.60681936459699e-08	4.91939751387861e-06	9.40692853241187	up
TCN1	1.06088421916286	6.71689023012083	3.61880211081047	0.000657280326849848	0.0236780673300944	-0.63952482597665	up
MT1A	1.05586293379607	9.27168219059476	7.59276327193533	4.77193618324791e-10	2.35756370958081e-07	12.7569689131386	up
TNFSF13B	1.05260519068949	10.2637882193003	9.07554775349378	2.06688137340558e-12	6.40945851205546e-09	17.9212298408347	up
RETN	1.03289410601771	6.05870632926009	4.23387601946038	9.08365473017896e-05	0.00529454594525881	1.20707224525855	up
PARP14	1.00583076340398	9.09528647422543	6.78754674852494	9.53603122397474e-09	3.09176012339806e-06	9.90422013209573	up
HELZ2	0.998469575093875	9.48871207072158	6.13858498477182	1.05717587407417e-07	2.41059333923505e-05	7.61154742231975	up
TIMM10	0.990342022339603	7.6675671827288	4.01858725623202	0.00018448823373346	0.00920223762011848	0.543243433684267	up
DDX58	0.9695087266353	6.77176977148512	6.04357393231687	1.50036056368649e-07	3.14469512085805e-05	7.27802572083429	up
TNFSF10	0.967642692136236	9.70289806809782	9.06306740418045	2.16222696792232e-12	6.40945851205546e-09	17.8785857296612	up
SCO2	0.965774368373262	8.55340134289642	6.10263875210968	1.20700782815415e-07	2.63635920359985e-05	7.48527450276694	up
ANKRD22	0.921933049804522	6.09238595562381	4.84227518925588	1.13696459248531e-05	0.00109222293028103	3.16624015348762	up
MPO	0.916044190226424	5.86852143530566	3.29852864325843	0.00173301643517679	0.045750751946461	-1.53329481435296	up
HP	0.913409120928267	5.827217357218	3.44105445273645	0.00113217100276868	0.0339978991424748	-1.14194180233014	up
MX2	0.900493239612803	9.38281487388371	5.33409619113202	1.98711349552264e-06	0.000286337534945102	4.82002951723415	up
IFI16	0.889344916306205	9.60381327514385	8.20413763918851	4.97251389972289e-11	3.82146901552778e-08	14.9070190859387	up
SERPING1	0.888443138806528	5.48285450003037	6.34165822593964	4.99119027124741e-08	1.21843762503981e-05	8.32668909381606	up
IFITM1	0.884367117844176	11.8468086689417	7.44107904683578	8.38314777893055e-10	4.02238744590962e-07	12.220596042988	up
STAT1	0.879087740840879	9.90612980847069	7.76616508729798	2.50819277236158e-10	1.45104810835865e-07	13.3689432544791	up
TDRD7	0.878604705746471	7.08414996088165	8.14396952215618	6.20650009668081e-11	4.59945989307596e-08	14.6964786476281	up
CEACAM1	0.858304697569048	6.87740111989992	3.87511632462513	0.000293141778014436	0.0130529868965656	0.110898600832329	up
TOR1B	0.852588096305888	7.22596178721875	6.79796711757091	9.17352013895543e-09	3.02143718862421e-06	9.94115735038448	up
GBP5	0.847687923661141	8.93593519747427	4.65456687744048	2.18189085118924e-05	0.0017894954609556	2.55012017189775	up
IRF7	0.845062718488234	7.13383276999096	5.28849619235736	2.34041915735697e-06	0.000313314177517142	4.66461734058916	up
CHMP5	0.839560695624886	8.57117736359291	7.2554412020288	1.67195727547523e-09	6.9386226932222e-07	11.56317130027	up
SAMD9	0.820616660846328	9.02093645864109	7.20501375032484	2.01702328409582e-09	8.20651630293888e-07	11.384449720662	up
FFAR2	0.813867123889933	9.53715084840782	4.4629240446624	4.20500199499207e-05	0.00300875142745122	1.93135156886984	up
HESX1	0.808545530069089	4.41765732568972	5.29067804573392	2.32218361595258e-06	0.000312891623578026	4.67204479939472	up
